season,avg_adci_actual,avg_adci_rule1,avg_adci_rule2,avg_adci_rule4
1,27.774903672205216,28.50137729087763,27.710289549036084,25.447976035682423
2,23.261828692257268,25.571497804227853,24.59574434472554,24.59574434472554
3,25.113070830994037,30.34901304591989,26.240650581918665,29.190959861129866
4,22.42230325804196,24.28428652041852,23.296274521181743,23.23636243607427
5,20.92435268628306,26.147079762000008,21.761460078152975,24.331556141922402
6,20.032363750688873,26.088576237540366,21.769595923246023,24.255012731818443
7,26.07853342657641,24.518587336096132,22.68993824095714,24.38703614693459
8,20.11460024754111,22.48592497129856,21.627910347015327,21.627910347015327
9,25.1242068429792,25.40713623522365,22.356700902300684,22.356700902300684
10,21.05312676493869,25.46454398895671,22.808265498081926,22.793211712672516
11,21.918018026014384,25.513607350549194,22.68885244792434,25.360781739141892
12,24.531445425382962,27.470793008779047,22.961927240080477,25.586045636280307
13,19.41721111054763,24.847671934198708,22.240744366614575,23.070298582406885
14,25.876777624487413,27.7179398955873,24.36356889744482,24.36356889744482
15,22.026855036474004,23.66691930727164,19.764753532419316,21.275840941557306
16,23.99972990687267,20.367827703402003,19.54342695960069,20.32366338359198
17,22.02413009518873,22.949891288966167,21.34173259692679,21.401171378367835
18,24.561478047967775,24.7206892945865,22.996407571128053,22.996407571128053
19,21.31689905356818,23.588283812818148,20.704291889125127,22.68163428281717
20,23.411008982191593,24.319023305718012,22.638475033194833,23.39106158427562
21,20.516473114066848,22.842008714976874,19.96167432227476,21.321281347027867
22,20.42747740419226,22.014219236247502,19.66850140926028,21.177394464700416
23,24.38947919451002,24.655654609478155,20.401204464787924,22.994227932624725
24,23.781776680813724,24.713048676824606,21.445960570464216,23.036249413555954
25,20.68300883511586,20.05163745818243,19.991355570304748,19.991355570304748
26,26.409460886429468,22.20159834673693,21.34222040987858,21.35443301605662
27,22.05085577587768,22.929402844378966,22.054466056514084,22.054466056514084
28,22.05864008096468,23.680863196536887,22.772563462310142,22.772563462310142
29,23.993019302283592,24.953194135464354,20.661472151537787,24.001033816592198
30,20.326171053986616,22.39256085090689,17.948814547075504,20.94165579245553
31,21.776350620144317,21.987272822554907,20.550398954813733,21.1482856937649
32,22.051958123776007,22.301166365558153,21.427156566971476,21.427156566971476
33,24.364456584485275,22.786265209793005,22.73933910145179,22.739709572434382
34,21.732675575479504,23.21694541490346,21.742778692366162,22.316282842039204
Overall,22.81013666803903,24.256073764028798,21.964968141208423,22.939677653077652
