season,week,index,celebrity_name,v_votes_exp,judge_avg_score
1,Week_1,0,John O'Hurley,827.1720447669395,6.666666666666667
1,Week_1,1,Kelly Monaco,571.7123491205164,4.333333333333333
1,Week_1,2,Evander Holyfield,1239.6731392614397,6.0
1,Week_1,3,Rachel Hunter,968.229241968496,6.666666666666667
1,Week_1,4,Joey McIntyre,1664.028288526797,6.666666666666667
1,Week_1,5,Trista Sutter,1130.7318817676673,6.0
1,Week_2,0,John O'Hurley,731.7105791642095,8.666666666666666
1,Week_2,1,Kelly Monaco,530.6564083930664,5.666666666666667
1,Week_2,2,Evander Holyfield,1397.1126109662332,4.666666666666667
1,Week_2,3,Rachel Hunter,879.8625713356757,8.0
1,Week_2,4,Joey McIntyre,930.6240852137565,7.0
1,Week_2,5,Trista Sutter,799.4215189677806,6.333333333333333
1,Week_3,0,John O'Hurley,510.3335428004088,8.0
1,Week_3,1,Kelly Monaco,1329.0131288092794,7.0
1,Week_3,2,Evander Holyfield,1326.7568263693433,4.333333333333333
1,Week_3,3,Rachel Hunter,1042.5214419107601,8.666666666666666
1,Week_3,4,Joey McIntyre,1233.164171759285,7.333333333333333
1,Week_3,5,Trista Sutter,626.5620339511119,6.166666666666667
1,Week_4,0,John O'Hurley,1732.5166466726364,7.0
1,Week_4,1,Kelly Monaco,847.6193242228724,8.666666666666666
1,Week_4,2,Evander Holyfield,1263.5650553232376,5.0
1,Week_4,3,Rachel Hunter,1229.3676409133475,8.333333333333334
1,Week_4,4,Joey McIntyre,338.5987861280762,6.666666666666667
1,Week_4,5,Trista Sutter,1914.5505529760635,6.166666666666667
1,Week_5,0,John O'Hurley,961.301583398247,9.0
1,Week_5,1,Kelly Monaco,510.97698045974994,7.833333333333333
1,Week_5,2,Evander Holyfield,949.6351037321978,5.0
1,Week_5,3,Rachel Hunter,2293.8076723600843,7.916666666666667
1,Week_5,4,Joey McIntyre,873.9128818150476,7.5
1,Week_5,5,Trista Sutter,585.3014089120898,6.166666666666667
1,Week_6,0,John O'Hurley,898.0133878242602,9.0
1,Week_6,1,Kelly Monaco,1097.1989911624328,9.166666666666666
