index,week,Judge_Share,Has_Previous_Week,log_fame,age_scaled,industry_Actor_Performer,industry_Influencer,industry_Model_Fashion,industry_Music,industry_Others,industry_Sports,industry_TV_Media
0,1,0.18348623853211,0,4.679511268394886,0.8156117126382151,1,0,0,0,0,0,0
0,2,0.2148760330578512,1,4.679511268394886,0.8156117126382151,1,0,0,0,0,0,0
0,3,0.2264150943396226,1,4.679511268394886,0.8156117126382151,1,0,0,0,0,0,0
0,4,0.2282608695652173,1,4.679511268394886,0.8156117126382151,1,0,0,0,0,0,0
0,5,0.3698630136986301,1,4.679511268394886,0.8156117126382151,1,0,0,0,0,0,0
0,6,0.4954128440366973,1,4.679511268394886,0.8156117126382151,1,0,0,0,0,0,0
1,1,0.1192660550458715,0,5.686834207207621,-0.7117814564857969,1,0,0,0,0,0,0
1,2,0.140495867768595,1,5.686834207207621,-0.7117814564857969,1,0,0,0,0,0,0
1,3,0.1981132075471698,1,5.686834207207621,-0.7117814564857969,1,0,0,0,0,0,0
1,4,0.2826086956521739,1,5.686834207207621,-0.7117814564857969,1,0,0,0,0,0,0
1,5,0.3219178082191781,1,5.686834207207621,-0.7117814564857969,1,0,0,0,0,0,0
1,6,0.5045871559633028,1,5.686834207207621,-0.7117814564857969,1,0,0,0,0,0,0
2,1,0.165137614678899,0,4.629979967840022,0.23374764821002,0,0,0,0,0,1,0
2,2,0.1157024793388429,1,4.629979967840022,0.23374764821002,0,0,0,0,0,1,0
2,3,0.1226415094339622,1,4.629979967840022,0.23374764821002,0,0,0,0,0,1,0
3,1,0.18348623853211,0,3.835491803608415,-0.2753834081646507,0,0,1,0,0,0,0
3,2,0.1983471074380165,1,3.835491803608415,-0.2753834081646507,0,0,1,0,0,0,0
3,3,0.2452830188679245,1,3.835491803608415,-0.2753834081646507,0,0,1,0,0,0,0
3,4,0.2717391304347826,1,3.835491803608415,-0.2753834081646507,0,0,1,0,0,0,0
4,1,0.18348623853211,0,4.136886091807755,-0.49358243232522386,0,0,0,1,0,0,0
4,2,0.1735537190082644,1,4.136886091807755,-0.49358243232522386,0,0,0,1,0,0,0
4,3,0.2075471698113207,1,4.136886091807755,-0.49358243232522386,0,0,0,1,0,0,0
4,4,0.217391304347826,1,4.136886091807755,-0.49358243232522386,0,0,0,1,0,0,0
4,5,0.3082191780821918,1,4.136886091807755,-0.49358243232522386,0,0,0,1,0,0,0
5,1,0.165137614678899,0,4.408521834081802,-0.49358243232522386,0,0,0,0,0,0,1
5,2,0.1570247933884297,1,4.408521834081802,-0.49358243232522386,0,0,0,0,0,0,1
6,1,0.1179487179487179,0,5.728080169958411,0.23374764821002,1,0,0,0,0,0,0
6,2,0.0849999999999999,1,5.728080169958411,0.23374764821002,1,0,0,0,0,0,0
7,1,0.1025641025641025,0,6.143741758222573,0.015548624049446843,1,0,0,0,0,0,0
7,2,0.1099999999999999,1,6.143741758222573,0.015548624049446843,1,0,0,0,0,0,0
7,3,0.1428571428571428,1,6.143741758222573,0.015548624049446843,1,0,0,0,0,0,0
7,4,0.1582278481012658,1,6.143741758222573,0.015548624049446843,1,0,0,0,0,0,0
7,5,0.1456953642384106,1,6.143741758222573,0.015548624049446843,1,0,0,0,0,0,0
8,1,0.0923076923076923,0,5.633200978559317,1.9793398414946053,1,0,0,0,0,0,0
8,2,0.1099999999999999,1,5.633200978559317,1.9793398414946053,1,0,0,0,0,0,0
8,3,0.1208791208791208,1,5.633200978559317,1.9793398414946053,1,0,0,0,0,0,0
8,4,0.1329113924050633,1,5.633200978559317,1.9793398414946053,1,0,0,0,0,0,0
8,5,0.1589403973509933,1,5.633200978559317,1.9793398414946053,1,0,0,0,0,0,0
8,6,0.1729323308270676,1,5.633200978559317,1.9793398414946053,1,0,0,0,0,0,0
9,1,0.0974358974358974,0,5.834703459626606,0.23374764821002,1,0,0,0,0,0,0
9,2,0.0999999999999999,1,5.834703459626606,0.23374764821002,1,0,0,0,0,0,0
9,3,0.1373626373626373,1,5.834703459626606,0.23374764821002,1,0,0,0,0,0,0
9,4,0.1645569620253164,1,5.834703459626606,0.23374764821002,1,0,0,0,0,0,0
9,5,0.1655629139072847,1,5.834703459626606,0.23374764821002,1,0,0,0,0,0,0
9,6,0.2030075187969924,1,5.834703459626606,0.23374764821002,1,0,0,0,0,0,0
9,7,0.2598039215686274,1,5.834703459626606,0.23374764821002,1,0,0,0,0,0,0
10,1,0.1128205128205128,0,8.919114385146985,-0.9299804806463702,0,0,0,0,0,1,0
10,2,0.145,1,8.919114385146985,-0.9299804806463702,0,0,0,0,0,1,0
10,3,0.1483516483516483,1,8.919114385146985,-0.9299804806463702,0,0,0,0,0,1,0
10,4,0.1645569620253164,1,8.919114385146985,-0.9299804806463702,0,0,0,0,0,1,0
10,5,0.1986754966887417,1,8.919114385146985,-0.9299804806463702,0,0,0,0,0,1,0
10,6,0.225563909774436,1,8.919114385146985,-0.9299804806463702,0,0,0,0,0,1,0
10,7,0.2696078431372549,1,8.919114385146985,-0.9299804806463702,0,0,0,0,0,1,0
10,8,0.339920718960216,1,8.919114385146985,-0.9299804806463702,0,0,0,0,0,1,0
11,1,0.1076923076923077,0,7.748555045145402,0.30648065626354437,0,0,0,0,0,1,0
11,2,0.1149999999999999,1,7.748555045145402,0.30648065626354437,0,0,0,0,0,1,0
11,3,0.1043956043956044,1,7.748555045145402,0.30648065626354437,0,0,0,0,0,1,0
11,4,0.1518987341772152,1,7.748555045145402,0.30648065626354437,0,0,0,0,0,1,0
11,5,0.152317880794702,1,7.748555045145402,0.30648065626354437,0,0,0,0,0,1,0
11,6,0.1729323308270676,1,7.748555045145402,0.30648065626354437,0,0,0,0,0,1,0
11,7,0.2009803921568627,1,7.748555045145402,0.30648065626354437,0,0,0,0,0,1,0
11,8,0.3162063678588072,1,7.748555045145402,0.30648065626354437,0,0,0,0,0,1,0
12,1,0.1179487179487179,0,4.655000666316961,0.37921366431706877,0,0,0,0,0,0,1
12,2,0.12,1,4.655000666316961,0.37921366431706877,0,0,0,0,0,0,1
12,3,0.1208791208791208,1,4.655000666316961,0.37921366431706877,0,0,0,0,0,0,1
13,1,0.0615384615384615,0,8.115574301333082,-0.2753834081646507,0,0,0,1,0,0,0
13,2,0.0799999999999999,1,8.115574301333082,-0.2753834081646507,0,0,0,1,0,0,0
13,3,0.0769230769230769,1,8.115574301333082,-0.2753834081646507,0,0,0,1,0,0,0
13,4,0.050632911392405,1,8.115574301333082,-0.2753834081646507,0,0,0,1,0,0,0
14,1,0.123076923076923,0,5.611058501407041,-0.7117814564857969,0,0,0,1,0,0,0
14,2,0.1349999999999999,1,5.611058501407041,-0.7117814564857969,0,0,0,1,0,0,0
