index,season,week,Judge_Share,is_eliminated,Estimated_Fan_Share,Certainty_Sigma,Combined_Score
0,1,1,0.18348623853211,0,0.1640416654095238,0.6931471805599453,0.3475279039416338
1,1,1,0.1192660550458715,0,0.1668565768331887,0.6931471805599453,0.2861226318790602
2,1,1,0.165137614678899,0,0.17125532898344176,0.6931471805599453,0.33639294366234074
3,1,1,0.18348623853211,0,0.16008563083333202,0.6931471805599453,0.34357186936544204
4,1,1,0.18348623853211,0,0.16769247003192048,0.6931471805599453,0.35117870856403044
5,1,1,0.165137614678899,0,0.17006832790859322,0.6931471805599453,0.33520594258749226
0,1,2,0.2148760330578512,0,0.1640416654095238,0.6931471805599453,0.378917698467375
1,1,2,0.140495867768595,0,0.1668565768331887,0.6931471805599453,0.3073524446017837
2,1,2,0.1157024793388429,0,0.17125532898344176,0.6931471805599453,0.2869578083222847
3,1,2,0.1983471074380165,0,0.16008563083333202,0.6931471805599453,0.3584327382713485
4,1,2,0.1735537190082644,0,0.16769247003192048,0.6931471805599453,0.3412461890401849
5,1,2,0.1570247933884297,1,0.17006832790859322,0.6931471805599453,0.32709312129702295
0,1,3,0.2264150943396226,0,0.1976568323945789,0.6931471805599453,0.42407192673420147
1,1,3,0.1981132075471698,0,0.20104857115853206,0.6931471805599453,0.39916177870570185
2,1,3,0.1226415094339622,1,0.20634870886645726,0.6931471805599453,0.32899021830041947
3,1,3,0.2452830188679245,0,0.1928901332683452,0.6931471805599453,0.43817315213626973
4,1,3,0.2075471698113207,0,0.20205575431208658,0.6931471805599453,0.40960292412340726
0,1,4,0.2282608695652173,0,0.249047452707187,0.6931471805599453,0.4773083222724043
1,1,4,0.2826086956521739,0,0.25332104087096213,0.6931471805599453,0.535929736523136
3,1,4,0.2717391304347826,1,0.2430414155728864,0.6931471805599453,0.514780546007669
4,1,4,0.217391304347826,0,0.25459009084896445,0.6931471805599453,0.47198139519679044
0,1,5,0.3698630136986301,0,0.32901067222280433,0.6931471805599453,0.6988736859214344
1,1,5,0.3219178082191781,0,0.3346564080024038,0.6931471805599453,0.656574216221582
4,1,5,0.3082191780821918,1,0.3363329197747919,0.6931471805599453,0.6445520978569836
0,1,6,0.4954128440366973,1,0.4957465603253338,0.6931471805599453,0.9911594043620311
1,1,6,0.5045871559633028,0,0.5042534396746662,0.6931471805599453,1.008840595637969
6,2,1,0.1179487179487179,0,0.09874035587081889,0.6931471805599453,0.21668907381953678
7,2,1,0.1025641025641025,0,0.09895276230148237,0.6931471805599453,0.20151686486558487
8,2,1,0.0923076923076923,0,0.09673292273435932,0.6931471805599453,0.1890406150420516
9,2,1,0.0974358974358974,0,0.09872944157437935,0.6931471805599453,0.19616533901027675
10,2,1,0.1128205128205128,0,0.10344588881319877,0.6931471805599453,0.21626640163371158
11,2,1,0.1076923076923077,0,0.10206842730775681,0.6931471805599453,0.2097607350000645
12,2,1,0.1179487179487179,0,0.10070611817981835,0.6931471805599453,0.21865483612853626
13,2,1,0.0615384615384615,0,0.0996842846171569,0.6931471805599453,0.1612227461556184
14,2,1,0.123076923076923,0,0.1004604544639806,0.6931471805599453,0.22353737754090358
15,2,1,0.0666666666666666,1,0.10047934413704877,0.6931471805599453,0.16714601080371538
6,2,2,0.0849999999999999,1,0.10976997051400976,0.6931471805599453,0.19476997051400965
7,2,2,0.1099999999999999,0,0.11000610342466506,0.6931471805599453,0.22000610342466498
8,2,2,0.1099999999999999,0,0.10753830065365093,0.6931471805599453,0.21753830065365082
9,2,2,0.0999999999999999,0,0.10975783705563012,0.6931471805599453,0.20975783705563
10,2,2,0.145,0,0.11500112658775845,0.6931471805599453,0.2600011265877584
11,2,2,0.1149999999999999,0,0.11346979821140173,0.6931471805599453,0.22846979821140162
12,2,2,0.12,0,0.11195531478174492,0.6931471805599453,0.23195531478174491
13,2,2,0.0799999999999999,0,0.11081933913071203,0.6931471805599453,0.19081933913071192
14,2,2,0.1349999999999999,0,0.11168220964042708,0.6931471805599453,0.24668220964042697
7,2,3,0.1428571428571428,0,0.12357042537441863,0.6931471805599453,0.26642756823156144
8,2,3,0.1208791208791208,0,0.12079832974825892,0.6931471805599453,0.24167745062737972
9,2,3,0.1373626373626373,0,0.12329154647704163,0.6931471805599453,0.2606541838396789
10,2,3,0.1483516483516483,0,0.12918136074802927,0.6931471805599453,0.2775330090996776
11,2,3,0.1043956043956044,0,0.12746121165662994,0.6931471805599453,0.23185681605223435
12,2,3,0.1208791208791208,1,0.12575998458104898,0.6931471805599453,0.24663910546016976
13,2,3,0.0769230769230769,0,0.12448393725237282,0.6931471805599453,0.2014070141754497
14,2,3,0.1483516483516483,0,0.1254532041621998,0.6931471805599453,0.2738048525138481
7,2,4,0.1582278481012658,0,0.14134610998697142,0.6931471805599453,0.2995739580882372
8,2,4,0.1329113924050633,0,0.13817524663449576,0.6931471805599453,0.2710866390395591
9,2,4,0.1645569620253164,0,0.14102711418209127,0.6931471805599453,0.3055840762074077
10,2,4,0.1645569620253164,0,0.1477641819976901,0.6931471805599453,0.3123211440230065
11,2,4,0.1518987341772152,0,0.14579658836086143,0.6931471805599453,0.2976953225380766
13,2,4,0.050632911392405,1,0.14239103113201465,0.6931471805599453,0.19302394252441965
14,2,4,0.1772151898734177,0,0.1434997277058754,0.6931471805599453,0.3207149175792931
7,2,5,0.1456953642384106,1,0.1648141695317663,0.6931471805599453,0.31050953377017687
8,2,5,0.1589403973509933,0,0.1611168395508764,0.6931471805599453,0.3200572369018697
9,2,5,0.1655629139072847,0,0.16444221002987208,0.6931471805599453,0.33000512393715675
10,2,5,0.1986754966887417,0,0.17229785060752548,0.6931471805599453,0.3709733472962672
11,2,5,0.152317880794702,0,0.1700035723195712,0.6931471805599453,0.3223214531142732
14,2,5,0.1788079470198675,0,0.1673253579603886,0.6931471805599453,0.3461333049802561
8,2,6,0.1729323308270676,1,0.19291136615733628,0.6931471805599453,0.3658436969844039
9,2,6,0.2030075187969924,0,0.19689295966345616,0.6931471805599453,0.3999004784604485
10,2,6,0.225563909774436,0,0.20629881916331053,0.6931471805599453,0.4318627289377465
11,2,6,0.1729323308270676,0,0.2035517918500382,0.6931471805599453,0.3764841226771058
14,2,6,0.225563909774436,0,0.2003450631658589,0.6931471805599453,0.4259089729402949
9,2,7,0.2598039215686274,1,0.24395456881361444,0.6931471805599453,0.5037584903822419
10,2,7,0.2696078431372549,0,0.25560862898179165,0.6931471805599453,0.5252164721190465
11,2,7,0.2009803921568627,0,0.25220500365728005,0.6931471805599453,0.45318539581414274
14,2,7,0.2696078431372549,0,0.2482317985473139,0.6931471805599453,0.5178396416845688
10,2,8,0.339920718960216,1,0.3380863350773655,0.6931471805599453,0.6780070540375815
11,2,8,0.3162063678588072,1,0.3335844557138852,0.6931471805599453,0.6497908235726924
14,2,8,0.3438729131809768,0,0.32832920920874936,0.6931471805599453,0.6722021223897261
