index,season,week,placement,Judge_Share,Has_Previous_Week,is_eliminated,log_fame,age_scaled,industry_Actor_Performer,industry_Influencer,industry_Model_Fashion,industry_Music,industry_Others,industry_Sports,industry_TV_Media
0,1,1,2,0.18348623853211,0,0,106.7174147996562,0.8156117126382151,1,0,0,0,0,0,0
1,1,1,1,0.1192660550458715,0,0,293.9583639445171,-0.7117814564857969,1,0,0,0,0,0,0
2,1,1,5,0.165137614678899,0,0,101.5120105529299,0.23374764821002,0,0,0,0,0,1,0
3,1,1,4,0.18348623853211,0,0,45.316200542155286,-0.2753834081646507,0,0,1,0,0,0,0
4,1,1,3,0.18348623853211,0,0,61.60756339459819,-0.49358243232522386,0,0,0,1,0,0,0
5,1,1,6,0.165137614678899,0,0,81.14794542121189,-0.49358243232522386,0,0,0,0,0,0,1
0,1,2,2,0.2148760330578512,1,0,106.7174147996562,0.8156117126382151,1,0,0,0,0,0,0
1,1,2,1,0.140495867768595,1,0,293.9583639445171,-0.7117814564857969,1,0,0,0,0,0,0
2,1,2,5,0.1157024793388429,1,0,101.5120105529299,0.23374764821002,0,0,0,0,0,1,0
3,1,2,4,0.1983471074380165,1,0,45.316200542155286,-0.2753834081646507,0,0,1,0,0,0,0
4,1,2,3,0.1735537190082644,1,0,61.60756339459819,-0.49358243232522386,0,0,0,1,0,0,0
5,1,2,6,0.1570247933884297,1,1,81.14794542121189,-0.49358243232522386,0,0,0,0,0,0,1
0,1,3,2,0.2264150943396226,1,0,106.7174147996562,0.8156117126382151,1,0,0,0,0,0,0
1,1,3,1,0.1981132075471698,1,0,293.9583639445171,-0.7117814564857969,1,0,0,0,0,0,0
2,1,3,5,0.1226415094339622,1,1,101.5120105529299,0.23374764821002,0,0,0,0,0,1,0
3,1,3,4,0.2452830188679245,1,0,45.316200542155286,-0.2753834081646507,0,0,1,0,0,0,0
4,1,3,3,0.2075471698113207,1,0,61.60756339459819,-0.49358243232522386,0,0,0,1,0,0,0
0,1,4,2,0.2282608695652173,1,0,106.7174147996562,0.8156117126382151,1,0,0,0,0,0,0
1,1,4,1,0.2826086956521739,1,0,293.9583639445171,-0.7117814564857969,1,0,0,0,0,0,0
3,1,4,4,0.2717391304347826,1,1,45.316200542155286,-0.2753834081646507,0,0,1,0,0,0,0
4,1,4,3,0.217391304347826,1,0,61.60756339459819,-0.49358243232522386,0,0,0,1,0,0,0
0,1,5,2,0.3698630136986301,1,0,106.7174147996562,0.8156117126382151,1,0,0,0,0,0,0
